DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	n_amr_genes_strict
COLOR	#ff0000
COLOR_MIN	#ffffff
COLOR_MAX	#000000
DATA
aa_0143_0005_c5	2.0
aa_0143_0005_c5	2.0
cx_0004_0077_d9	3.0
cx_0004_0077_d9	3.0
cx_0004_0077_d9	3.0
af_0058_0061_e6	3.0
af_0058_0061_e6	3.0
af_0058_0061_e6	3.0
ao_0067_0012_b9	2.0
ao_0067_0012_b9	2.0
ao_0067_0037_d3	2.0
ao_0067_0037_d3	2.0
ao_0067_0012_c10	2.0
ao_0067_0012_c10	2.0
ao_0067_0012_b7-BIS	2.0
ao_0067_0012_b7-BIS	2.0
cx_0004_0086_d7	2.0
cx_0004_0086_d7	2.0
ao_0067_0037_e3	2.0
ao_0067_0037_e3	2.0
ao_0067_0012_e9	2.0
ao_0067_0012_e9	2.0
ao_0067_0012_e12	2.0
ao_0067_0012_e12	2.0
ao_0067_0037_b3	2.0
ao_0067_0037_b3	2.0
ao_0067_0012_h3	2.0
ao_0067_0012_h3	2.0
ao_0067_0012_b11	2.0
ao_0067_0012_b11	2.0
cx_0004_0086_e10	2.0
cx_0004_0086_e10	2.0
ao_0067_0037_c3	2.0
ao_0067_0037_c3	2.0
ao_0067_0012_c6	2.0
ao_0067_0012_c6	2.0
ao_0067_0037_a3	2.0
ao_0067_0037_a3	2.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
am_0025_0078_c12	15.0
cx_0004_0086_a12	2.0
cx_0004_0086_a12	2.0
bq_0049_0037_h5	2.0
bq_0049_0037_h5	2.0
cx_0004_0086_b12	2.0
cx_0004_0086_b12	2.0
cx_0004_0086_f9	2.0
cx_0004_0086_f9	2.0
af_0058_0006_a2	1.0
cx_0004_0086_e7	2.0
cx_0004_0086_e7	2.0
af_0058_0066_e4	2.0
af_0058_0066_e4	2.0
cx_0004_0086_e8	2.0
cx_0004_0086_e8	2.0
cx_0004_0086_d9	2.0
cx_0004_0086_d9	2.0
cx_0004_0086_c9	2.0
cx_0004_0086_c9	2.0
cx_0004_0086_d12	2.0
cx_0004_0086_d12	2.0
cx_0004_0086_b7	2.0
cx_0004_0086_b7	2.0
cx_0004_0086_c7	2.0
cx_0004_0086_c7	2.0
cx_0004_0077_f8	2.0
cx_0004_0077_f8	2.0
cx_0004_0086_a7	2.0
cx_0004_0086_a7	2.0
cx_0004_0072_c12	2.0
cx_0004_0072_c12	2.0
cx_0004_0086_f10	2.0
cx_0004_0086_f10	2.0
cx_0004_0086_d11	2.0
cx_0004_0086_d11	2.0
cx_0004_0086_b9	2.0
cx_0004_0086_b9	2.0
cx_0004_0086_g6	2.0
cx_0004_0086_g6	2.0
cx_0004_0086_b11	2.0
cx_0004_0086_b11	2.0
cx_0004_0086_h6	2.0
cx_0004_0086_h6	2.0
cx_0004_0086_h11	1.0
cx_0004_0086_d8	2.0
cx_0004_0086_d8	2.0
cx_0004_0064_c8	2.0
cx_0004_0064_c8	2.0
cx_0004_0086_f11	2.0
cx_0004_0086_f11	2.0
cx_0004_0086_h10	2.0
cx_0004_0086_h10	2.0
ao_0067_0037_g3	2.0
ao_0067_0037_g3	2.0
cx_0004_0064_g5	1.0
cx_0004_0086_h7	2.0
cx_0004_0086_h7	2.0
cx_0004_0086_g9	1.0
cx_0004_0086_c11	2.0
cx_0004_0086_c11	2.0
bk_0021_0037_e7	4.0
bk_0021_0037_e7	4.0
bk_0021_0037_e7	4.0
bk_0021_0037_e7	4.0
cx_0004_0086_f7	2.0
cx_0004_0086_f7	2.0
cx_0004_0086_d10	2.0
cx_0004_0086_d10	2.0
cx_0004_0064_c6	2.0
cx_0004_0064_c6	2.0
cx_0004_0086_h8	2.0
cx_0004_0086_h8	2.0
cx_0004_0077_b10	2.0
cx_0004_0077_b10	2.0
cx_0004_0086_c12	2.0
cx_0004_0086_c12	2.0
cx_0004_0086_f8	2.0
cx_0004_0086_f8	2.0
cx_0004_0086_c8	2.0
cx_0004_0086_c8	2.0
cx_0004_0064_e5	2.0
cx_0004_0064_e5	2.0
cx_0004_0086_e11	2.0
cx_0004_0086_e11	2.0
cx_0004_0037_d7	4.0
cx_0004_0037_d7	4.0
cx_0004_0037_d7	4.0
cx_0004_0037_d7	4.0
cx_0004_0086_b8	2.0
cx_0004_0086_b8	2.0
cx_0004_0077_g9	2.0
cx_0004_0077_g9	2.0
cx_0004_0086_f12	2.0
cx_0004_0086_f12	2.0
am_0025_0078_d8	8.0
am_0025_0078_d8	8.0
am_0025_0078_d8	8.0
am_0025_0078_d8	8.0
am_0025_0078_d8	8.0
am_0025_0078_d8	8.0
am_0025_0078_d8	8.0
am_0025_0078_d8	8.0
cx_0004_0086_g8	2.0
cx_0004_0086_g8	2.0
cx_0004_0024_c2	2.0
cx_0004_0024_c2	2.0
bk_0021_0020_c4	2.0
bk_0021_0020_c4	2.0
af_0058_0056_f1	2.0
af_0058_0056_f1	2.0
cx_0004_0086_e9	2.0
cx_0004_0086_e9	2.0
af_0058_0067_e2	1.0
af_0058_0066_d4	1.0
af_0058_0071_e4	1.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
am_0171_0078_h6	34.0
cx_0004_0086_a9	1.0
cx_0004_0086_h9	2.0
cx_0004_0086_h9	2.0
ao_0067_0037_f3	2.0
ao_0067_0037_f3	2.0
am_0171_0066_a9	1.0
af_0058_0071_e6	2.0
af_0058_0071_e6	2.0
bk_0021_0063_h9	2.0
bk_0021_0063_h9	2.0
bk_0021_0063_b10	2.0
bk_0021_0063_b10	2.0
af_0058_0006_f1	1.0
am_0070_0085_e9	1.0
aa_0143_0037_d1	2.0
aa_0143_0037_d1	2.0
af_0058_0006_c3	1.0
bk_0021_0020_e3	1.0
af_0058_0071_e2	2.0
af_0058_0071_e2	2.0
am_0171_0066_e11	1.0
bk_0021_0020_h3	3.0
bk_0021_0020_h3	3.0
bk_0021_0020_h3	3.0
an_0080_0058_a1	2.0
an_0080_0058_a1	2.0
bf_0095_0037_a4	1.0
cx_0004_0086_g7	1.0
bf_0095_0037_c4	1.0
af_0058_0067_b3	1.0
af_0058_0083_b3	2.0
af_0058_0083_b3	2.0
bf_0095_0016_b1	1.0
bj_0095_0037_d6	3.0
bj_0095_0037_d6	3.0
bj_0095_0037_d6	3.0
bj_0095_0037_e6	3.0
bj_0095_0037_e6	3.0
bj_0095_0037_e6	3.0
am_0070_0085_e7	1.0
am_0171_0078_d3	1.0
bf_0095_0037_e4	1.0
bj_0095_0037_h6	3.0
bj_0095_0037_h6	3.0
bj_0095_0037_h6	3.0
af_0058_0071_b1	2.0
af_0058_0071_b1	2.0
bj_0095_0063_f6	3.0
bj_0095_0063_f6	3.0
bj_0095_0063_f6	3.0
af_0058_0083_e6	1.0
bq_0049_0032_b1-BIS	1.0
aa_0143_0055_b8	1.0
bj_0095_0063_g5	3.0
bj_0095_0063_g5	3.0
bj_0095_0063_g5	3.0
bj_0095_0037_a6	3.0
bj_0095_0037_a6	3.0
bj_0095_0037_a6	3.0
af_0058_0083_c6-BIS	1.0
af_0058_0071_f6	2.0
af_0058_0071_f6	2.0
af_0058_0071_f1	2.0
af_0058_0071_f1	2.0
af_0058_0083_f3	1.0
af_0058_0083_h3	1.0
af_0058_0083_g5	2.0
af_0058_0083_g5	2.0
af_0058_0083_c2	1.0
bj_0095_0037_g6	3.0
bj_0095_0037_g6	3.0
bj_0095_0037_g6	3.0
af_0058_0037_g2	1.0
af_0058_0056_g3	2.0
af_0058_0056_g3	2.0
af_0058_0037_h2	1.0
af_0058_0083_d1	2.0
af_0058_0083_d1	2.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
af_0058_0038_h7	47.0
cx_0004_0086_g10	1.0
af_0058_0037_d2	1.0
bj_0095_0037_b6	3.0
bj_0095_0037_b6	3.0
bj_0095_0037_b6	3.0
af_0058_0066_e1	2.0
af_0058_0066_e1	2.0
af_0058_0071_c1	2.0
af_0058_0071_c1	2.0
af_0058_0037_a2	1.0
af_0058_0077_b4	2.0
af_0058_0077_b4	2.0
af_0058_0067_b6	2.0
af_0058_0067_b6	2.0
af_0058_0077_f4	2.0
af_0058_0077_f4	2.0
af_0058_0066_d5	2.0
af_0058_0066_d5	2.0
af_0058_0056_g2	2.0
af_0058_0056_g2	2.0
af_0058_0077_b5	2.0
af_0058_0077_b5	2.0
af_0058_0077_d6	2.0
af_0058_0077_d6	2.0
af_0058_0083_f2	2.0
af_0058_0083_f2	2.0
af_0058_0077_c4	2.0
af_0058_0077_c4	2.0
af_0058_0077_f3	2.0
af_0058_0077_f3	2.0
af_0058_0066_g1	2.0
af_0058_0066_g1	2.0
af_0058_0077_g5	2.0
af_0058_0077_g5	2.0
af_0058_0077_c5	2.0
af_0058_0077_c5	2.0
af_0058_0083_f6	2.0
af_0058_0083_f6	2.0
af_0058_0083_e5	2.0
af_0058_0083_e5	2.0
af_0058_0071_g5	2.0
af_0058_0071_g5	2.0
af_0058_0061_f5	2.0
af_0058_0061_f5	2.0
af_0058_0071_c4	2.0
af_0058_0071_c4	2.0
af_0058_0056_h1	2.0
af_0058_0056_h1	2.0
af_0058_0083_b1	2.0
af_0058_0083_b1	2.0
av_0103_0062_f10	1.0
af_0058_0066_e3	2.0
af_0058_0066_e3	2.0
af_0058_0066_f2	2.0
af_0058_0066_f2	2.0
af_0058_0066_b3	2.0
af_0058_0066_b3	2.0
af_0058_0077_g3	2.0
af_0058_0077_g3	2.0
af_0058_0061_d5-BIS	2.0
af_0058_0061_d5-BIS	2.0
af_0058_0077_f5	2.0
af_0058_0077_f5	2.0
af_0058_0071_h3	2.0
af_0058_0071_h3	2.0
af_0058_0077_d5	2.0
af_0058_0077_d5	2.0
af_0058_0083_e4	2.0
af_0058_0083_e4	2.0
af_0058_0077_e4	2.0
af_0058_0077_e4	2.0
af_0058_0077_g6	2.0
af_0058_0077_g6	2.0
af_0058_0066_g2	2.0
af_0058_0066_g2	2.0
af_0058_0083_g4	2.0
af_0058_0083_g4	2.0
af_0058_0066_b5	2.0
af_0058_0066_b5	2.0
af_0058_0066_c3	2.0
af_0058_0066_c3	2.0
af_0058_0066_d1	2.0
af_0058_0066_d1	2.0
af_0058_0071_f2	2.0
af_0058_0071_f2	2.0
af_0058_0071_b5	2.0
af_0058_0071_b5	2.0
